Carbon source,Carbon source ID,In vitro,In silico,Pred outcome
Acetate,ac,True,0.2472653828754724,TP
Adenosine,adn,True,1.296852584485462,TP
Alanine,ala__L,True,0.4368355409172369,TP
Arabinose,arab__D,True,0.8529645046015437,TP
Arginine,arg__L,True,0.899907321146935,TP
Aspartate,asp__L,True,0.48246576769282495,TP
Citrate,cit,False,0.0,TN
Cysteine,cys__L,True,0.36640642203440765,TP
Formate,for,True,0.048971614217538505,TP
Fumarate,fum,True,0.472359656094735,TP
Glucose,glc__D,True,1.0260741534942175,TP
Glutamate,glu__L,True,0.72501244604699,TP
Glutamine,gln__L,True,0.6994911275652632,TP
Glutarate,glutar,True,0.7275788694245641,TP
Glycerol,glyc,True,0.5866419678435877,TP
Glycine,gly,False,0.0,TN
Histidine,his__L,True,0.7856233054699299,TP
Inosine,ins,True,1.2849723018818384,TP
Isoleucine,ile__L,False,0.0,TN
Lactate,lac__L,True,0.46679682630250446,TP
Leucine,leu__L,True,1.070979548352496,TP
Malate,mal__L,True,0.4723596560947321,TP
Mannitol,mnl,True,1.105970914521603,TP
Mannose,man,True,1.026074153494219,TP
Myo-inositol,inost,True,0.9103361849794339,TP
Orotate,orot,True,0.27074264167859896,TP
Phenylalanine,phe__L,False,0.0,TN
Proline,pro__L,True,0.8712402558424837,TP
Pyruvate,pyr,True,0.3869000652751222,TP
Ribose,rib__D,True,0.8130161240878535,TP
Sucrose,sucr,True,2.0647320468502413,TP
Uridine,uri,True,1.2339756457604014,TP
Xylose,xyl__D,True,0.8429774094731236,TP
Acetate,ac,True,0.2481981051724971,TP
Adenosine,adn,False,0.0,TN
Alanine,ala__L,True,0.44999651697711623,TP
Arabinose,arab__D,False,0.0,TN
Arginine,arg__L,False,0.0,TN
Aspartate,asp__L,True,0.43751891069711146,TP
Citrate,cit,True,0.7275409158940583,TP
Cysteine,cys__L,True,0.4224405187244841,TP
Formate,for,False,0.0,TN
Fumarate,fum,True,0.4685926969682099,TP
Glucose,glc__D,False,0.0,TN
Glutamate,glu__L,True,0.7068250583799908,TP
Glutamine,gln__L,True,0.7083031839777265,TP
Glutarate,glutar,True,0.5877088776741013,TP
Glycerol,glyc,False,0.0,TN
Glycine,gly,True,0.1902820862824531,TP
Histidine,his__L,True,0.7948938200420221,TP
Inosine,ins,False,0.0,TN
Isoleucine,ile__L,True,1.1030406528941776,TP
Lactate,lac__L,True,0.46016822848202504,TP
Leucine,leu__L,True,1.0370815850302142,TP
Malate,mal__L,True,0.46859269696821293,TP
Mannitol,mnl,False,0.0,TN
Mannose,man,False,0.0,TN
Myo-inositol,inost,False,0.0,TN
Orotate,orot,True,0.334257993992739,TP
Phenylalanine,phe__L,True,0.9572585020887419,TP
Proline,pro__L,True,0.8446148025369137,TP
Pyruvate,pyr,True,0.373708680690309,TP
Ribose,rib__D,False,0.0,TN
Sucrose,sucr,False,0.0,TN
Uridine,uri,False,0.0,TN
Xylose,xyl__D,False,0.0,TN
Acetate,ac,True,0.27722861329590054,TP
Adenosine,adn,True,0.8393838922231079,TP
Alanine,ala__L,True,0.5091580675143719,TP
Arabinose,arab__D,True,0.8393838922231076,TP
Arginine,arg__L,True,0.8393838922231203,TP
Aspartate,asp__L,True,0.5278118186517312,TP
Citrate,cit,True,0.7911648673613667,TP
Cysteine,cys__L,True,0.4354239785424607,TP
Formate,for,True,0.10790884405816922,TP
Fumarate,fum,True,0.5278096538903471,TP
Glucose,glc__D,True,0.8393838922231084,TP
Glutamate,glu__L,True,0.7911648673613663,TP
Glutamine,gln__L,True,0.7724750409516093,TP
Glutarate,glutar,True,0.7164179117357762,TP
Glycerol,glyc,True,0.6110384859642323,TP
Glycine,gly,True,0.262728870596963,TP
Histidine,his__L,True,0.8393838922231053,TP
Inosine,ins,True,0.8393838922231084,TP
Isoleucine,ile__L,True,0.8393838922231053,TP
Lactate,lac__L,True,0.5172584069622377,TP
Leucine,leu__L,True,0.8393838922231057,TP
Malate,mal__L,True,0.5278096538903472,TP
Mannitol,mnl,True,0.8393838922231076,TP
Mannose,man,True,0.8393838922231076,TP
Myo-inositol,inost,True,0.8393838922231128,TP
Orotate,orot,False,0.0,TN
Phenylalanine,phe__L,True,0.8393838922231084,TP
Proline,pro__L,True,0.8393838922231084,TP
Pyruvate,pyr,True,0.444336639063426,TP
Ribose,rib__D,True,0.8393838922231076,TP
Sucrose,sucr,True,0.8393838922231084,TP
Uridine,uri,True,0.8393838922231076,TP
Xylose,xyl__D,True,0.8393838922231076,TP
Acetate,ac,True,0.24488439868534093,TP
Adenosine,adn,False,0.0,TN
Alanine,ala__L,True,0.46007063525950187,TP
Arabinose,arab__D,True,0.8203656874541667,TP
Arginine,arg__L,True,0.88853760573709,TP
Aspartate,asp__L,True,0.4754325974715175,TP
Citrate,cit,True,0.7343611172507198,TP
Cysteine,cys__L,True,0.35495878186313917,TP
Formate,for,False,0.0,TN
Fumarate,fum,True,0.4654738082492358,TP
Glucose,glc__D,True,0.9790054143005072,TP
Glutamate,glu__L,True,0.6845671711393357,TP
Glutamine,gln__L,True,0.6892236863335228,TP
Glutarate,glutar,True,0.7205728188200423,TP
Glycerol,glyc,False,0.0,TN
Glycine,gly,True,0.22776316031148605,TP
Histidine,his__L,True,0.7749064767800093,TP
Inosine,ins,True,1.2070344012985252,TP
Isoleucine,ile__L,True,1.1046714869730234,TP
Lactate,lac__L,True,0.4699138238615471,TP
Leucine,leu__L,True,1.0301440909218713,TP
Malate,mal__L,True,0.46547380824923995,TP
Mannitol,mnl,True,1.0583252777236796,TP
Mannose,man,True,0.9790054143005046,TP
Myo-inositol,inost,True,0.9620795950294444,TP
Orotate,orot,False,0.0,TN
Phenylalanine,phe__L,False,0.0,TN
Proline,pro__L,True,0.8591683426556529,TP
Pyruvate,pyr,True,0.3813251264431569,TP
Ribose,rib__D,True,0.7807057557425803,TP
Sucrose,sucr,True,1.9705037070901694,TP
Uridine,uri,False,0.0,TN
Xylose,xyl__D,True,0.8104507045262689,TP
